model,count,mean,std,median,min,max
Clinical,25,0.6954829709745747,0.05805111818780629,0.6978557504873294,0.6019607843137255,0.83399209486166
Combined,25,0.6893016018807034,0.046358144649515216,0.6888045540796964,0.5980392156862745,0.8046875
Expression,25,0.6212614509899512,0.055419467965066506,0.6141732283464567,0.5146198830409356,0.7578125
